id,name,slug,type,status,featured,catalog_visibility,price,regular_price,sale_price,on_sale,stock_status,stock_quantity,sku,date_created,date_modified
3320,כיתת אימוג'י,%d7%9b%d7%99%d7%aa%d7%aa-%d7%90%d7%99%d7%9e%d7%95%d7%92%d7%99,simple,publish,False,visible,40,40,,False,instock,,,2019-08-05T20:25:38,2024-09-26T11:32:26
3334,תגים לכתיבת שמות התלמידים ודף הכרות עם התלמיד/ה וההורה,%d7%aa%d7%92%d7%99%d7%9d-%d7%9c%d7%9b%d7%aa%d7%99%d7%91%d7%aa-%d7%a9%d7%9e%d7%95%d7%aa-%d7%94%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%9d-%d7%95%d7%93%d7%a3-%d7%94%d7%9b%d7%a8%d7%95%d7%aa-%d7%a2%d7%9d,simple,publish,False,visible,15,15,,False,instock,,,2019-08-05T20:40:32,2024-09-26T11:24:19
3359,כיתת קקטוסים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%a7%d7%a7%d7%98%d7%95%d7%a1%d7%99%d7%9d,simple,publish,False,visible,35,35,,False,instock,,,2019-08-06T10:25:49,2023-08-12T18:14:13
3372,אסיפת הורים- קקטוסים,%d7%90%d7%a1%d7%99%d7%a4%d7%aa-%d7%94%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%a7%d7%98%d7%95%d7%a1%d7%99%d7%9d,simple,publish,False,visible,15,15,,False,instock,,,2019-08-06T10:41:47,2020-07-29T19:41:48
3386,כיתת גיבורי על,%d7%9b%d7%99%d7%aa%d7%aa-%d7%92%d7%99%d7%91%d7%95%d7%a8%d7%99-%d7%a2%d7%9c,simple,publish,False,visible,35,35,,False,instock,,,2019-08-06T14:32:06,2024-08-12T18:58:49
3401,מחברת ניהול כיתה,%d7%9e%d7%97%d7%91%d7%a8%d7%aa-%d7%a0%d7%99%d7%94%d7%95%d7%9c-%d7%9b%d7%99%d7%aa%d7%94,simple,publish,False,visible,15,15,,False,instock,,,2019-08-06T15:16:23,2024-09-26T11:24:01
3421,ערכת עבודה לכיתת קוסמים,%d7%a2%d7%a8%d7%9b%d7%aa-%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%9c%d7%9b%d7%99%d7%aa%d7%aa-%d7%a7%d7%95%d7%a1%d7%9e%d7%99%d7%9d,simple,publish,False,visible,11,11,,False,instock,,,2019-08-06T15:43:10,2020-07-29T19:40:57
3435,כיתת פיראטים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%a4%d7%99%d7%a8%d7%90%d7%98%d7%99%d7%9d,simple,publish,False,visible,35,35,,False,instock,,,2019-08-06T18:46:00,2024-09-26T11:31:38
3455,ערכת עבודה לכיתת פיראטים,%d7%a2%d7%a8%d7%9b%d7%aa-%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%9c%d7%9b%d7%99%d7%aa%d7%aa-%d7%a4%d7%99%d7%a8%d7%90%d7%98%d7%99%d7%9d,simple,publish,False,visible,16,16,,False,instock,,,2019-08-06T19:27:42,2020-07-29T19:43:01
3710,ערכה למחנכים לשבוע הראשון בכיתה א',%d7%a2%d7%a8%d7%9b%d7%94-%d7%9c%d7%9e%d7%97%d7%a0%d7%9b%d7%99%d7%9d-%d7%9c%d7%a9%d7%91%d7%95%d7%a2-%d7%94%d7%a8%d7%90%d7%a9%d7%95%d7%9f-%d7%91%d7%9b%d7%99%d7%aa%d7%94-%d7%90,simple,publish,False,visible,48,48,,False,instock,,,2019-08-13T14:51:57,2024-09-26T10:58:00
3919,"כיתת ""למה""",%d7%9b%d7%99%d7%aa%d7%aa-%d7%9c%d7%9e%d7%94,simple,publish,False,visible,40,40,,False,instock,,,2019-08-17T15:40:24,2024-09-26T11:31:10
4128,אסיפת הורים - ילדים מתוקים,%d7%90%d7%a1%d7%99%d7%a4%d7%aa-%d7%94%d7%95%d7%a8%d7%99%d7%9d-%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%9e%d7%aa%d7%95%d7%a7%d7%99%d7%9d,simple,publish,False,visible,13,13,,False,instock,,,2019-08-22T22:05:51,2024-09-26T11:23:36
6292,זמן מרכזונים- קובץ דיגיטלי של כרטיסיות מעוצבות ליצירת לוח לניהול מרכזונים בכיתה,%d7%96%d7%9e%d7%9f-%d7%9e%d7%a8%d7%9b%d7%96%d7%95%d7%a0%d7%99%d7%9d-%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%a9%d7%9c-%d7%9b%d7%a8%d7%98%d7%99%d7%a1%d7%99%d7%95%d7%aa,simple,publish,False,visible,20,20,,False,instock,,,2019-11-09T20:37:38,2020-07-29T19:39:27
6753,מרכזונים ודפי עבודה לחג חנוכה- קבצים דיגיטליים,%d7%9e%d7%a8%d7%9b%d7%96%d7%95%d7%a0%d7%99%d7%9d-%d7%95%d7%93%d7%a4%d7%99-%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%9c%d7%97%d7%92-%d7%97%d7%a0%d7%95%d7%9b%d7%94-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99,simple,publish,False,visible,20,20,,False,instock,,,2019-11-26T19:33:35,2024-09-26T11:16:18
7000,חוברת דיגיטלית להכרת האותיות ומודעות פונולוגית,%d7%97%d7%95%d7%91%d7%a8%d7%aa-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%aa-%d7%9c%d7%94%d7%9b%d7%a8%d7%aa-%d7%94%d7%90%d7%95%d7%aa%d7%99%d7%95%d7%aa-%d7%95%d7%9e%d7%95%d7%93%d7%a2%d7%95%d7%aa,simple,publish,False,visible,28,28,,False,instock,,,2019-12-03T20:38:51,2024-09-26T11:04:03
8029,מרכזי למידה לחורף- קובץ דיגיטלי,%d7%9e%d7%a8%d7%9b%d7%96%d7%99-%d7%9c%d7%9e%d7%99%d7%93%d7%94-%d7%9c%d7%97%d7%95%d7%a8%d7%a3-%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99,simple,publish,False,visible,18,18,,False,instock,,,2020-01-09T19:58:08,2024-09-26T11:15:29
8955,"משחק ""שדוני התנועות""- משחק לרכישת הקריאה- קובץ דיגיטלי",%d7%9e%d7%a9%d7%97%d7%a7-%d7%a9%d7%93%d7%95%d7%a0%d7%99-%d7%94%d7%aa%d7%a0%d7%95%d7%a2%d7%95%d7%aa-%d7%9e%d7%a9%d7%97%d7%a7-%d7%9c%d7%a8%d7%9b%d7%99%d7%a9%d7%aa-%d7%94%d7%a7%d7%a8%d7%99%d7%90,simple,publish,False,visible,18,18,,False,instock,,,2020-02-10T20:11:59,2024-09-26T11:25:43
9046,ערכת אביב לרענון הכיתה- קובץ דיגיטלי,%d7%a2%d7%a8%d7%9b%d7%aa-%d7%90%d7%91%d7%99%d7%91-%d7%9c%d7%a8%d7%a2%d7%a0%d7%95%d7%9f-%d7%94%d7%9b%d7%99%d7%aa%d7%94-%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99,simple,publish,False,visible,10,10,,False,instock,,,2020-02-29T19:29:39,2024-09-26T11:15:08
